"id","id2","label","geoid","geoid2","displaylabel","density"
"0400000US16",16,"Idaho","0500000US16001",16001,"Ada County",372.8
"0400000US16",16,"Idaho","0500000US16003",16003,"Adams County",2.9
"0400000US16",16,"Idaho","0500000US16005",16005,"Bannock County",74.5
"0400000US16",16,"Idaho","0500000US16007",16007,"Bear Lake County",6.1
"0400000US16",16,"Idaho","0500000US16009",16009,"Benewah County",12
"0400000US16",16,"Idaho","0500000US16011",16011,"Bingham County",21.8
"0400000US16",16,"Idaho","0500000US16013",16013,"Blaine County",8.1
"0400000US16",16,"Idaho","0500000US16015",16015,"Boise County",3.7
"0400000US16",16,"Idaho","0500000US16017",16017,"Bonner County",23.6
"0400000US16",16,"Idaho","0500000US16019",16019,"Bonneville County",55.9
"0400000US16",16,"Idaho","0500000US16021",16021,"Boundary County",8.6
"0400000US16",16,"Idaho","0500000US16023",16023,"Butte County",1.3
"0400000US16",16,"Idaho","0500000US16025",16025,"Camas County",1
"0400000US16",16,"Idaho","0500000US16027",16027,"Canyon County",321.6
"0400000US16",16,"Idaho","0500000US16029",16029,"Caribou County",3.9
"0400000US16",16,"Idaho","0500000US16031",16031,"Cassia County",8.9
"0400000US16",16,"Idaho","0500000US16033",16033,"Clark County",0.6
"0400000US16",16,"Idaho","0500000US16035",16035,"Clearwater County",3.6
"0400000US16",16,"Idaho","0500000US16037",16037,"Custer County",0.9
"0400000US16",16,"Idaho","0500000US16039",16039,"Elmore County",8.8
"0400000US16",16,"Idaho","0500000US16041",16041,"Franklin County",19.3
"0400000US16",16,"Idaho","0500000US16043",16043,"Fremont County",7.1
"0400000US16",16,"Idaho","0500000US16045",16045,"Gem County",29.8
"0400000US16",16,"Idaho","0500000US16047",16047,"Gooding County",21.2
"0400000US16",16,"Idaho","0500000US16049",16049,"Idaho County",1.9
"0400000US16",16,"Idaho","0500000US16051",16051,"Jefferson County",23.9
"0400000US16",16,"Idaho","0500000US16053",16053,"Jerome County",37.5
"0400000US16",16,"Idaho","0500000US16055",16055,"Kootenai County",111.3
"0400000US16",16,"Idaho","0500000US16057",16057,"Latah County",34.6
"0400000US16",16,"Idaho","0500000US16059",16059,"Lemhi County",1.7
"0400000US16",16,"Idaho","0500000US16061",16061,"Lewis County",8
"0400000US16",16,"Idaho","0500000US16063",16063,"Lincoln County",4.3
"0400000US16",16,"Idaho","0500000US16065",16065,"Madison County",80
"0400000US16",16,"Idaho","0500000US16067",16067,"Minidoka County",26.5
"0400000US16",16,"Idaho","0500000US16069",16069,"Nez Perce County",46.3
"0400000US16",16,"Idaho","0500000US16071",16071,"Oneida County",3.6
"0400000US16",16,"Idaho","0500000US16073",16073,"Owyhee County",1.5
"0400000US16",16,"Idaho","0500000US16075",16075,"Payette County",55.6
"0400000US16",16,"Idaho","0500000US16077",16077,"Power County",5.6
"0400000US16",16,"Idaho","0500000US16079",16079,"Shoshone County",4.9
"0400000US16",16,"Idaho","0500000US16081",16081,"Teton County",22.6
"0400000US16",16,"Idaho","0500000US16083",16083,"Twin Falls County",40.2
"0400000US16",16,"Idaho","0500000US16085",16085,"Valley County",2.7
"0400000US16",16,"Idaho","0500000US16087",16087,"Washington County",7
